source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,ALL,ALL-LO,exp-LO,CHI-LO,exp-LOOM,CHI-LOOM,exp-offC,CHI-offC,exp-allC,CHI-allC
S02000262,S02000690,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000262,S02000691,38,0,0,5,-38,-38,-33,43,5,13,6.7,18,4.6,8,-2.8,25,-4
S02000262,S02000692,3,4,4,0,1,1,-3,11,8,3,-0.2,5,1.1,2,1.4,6,-0.9
S02000262,S02000694,4,0,5,4,1,-4,0,13,9,4,0,6,-0.7,2,1.7,7,0.6
S02000262,S02000695,3,0,0,18,-3,-3,15,21,18,7,-1.4,9,-2,4,-2,12,1.7
S02000262,S02000701,0,0,0,8,0,0,8,8,8,2,-1.6,3,-1.8,1,-1.2,5,1.6
S02000262,S02000702,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000262,S02000708,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000262,S02000710,3,0,0,3,-3,-3,0,6,3,2,0.8,3,0.3,1,-1.1,3,-0.2
S02000262,S02000923,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02001000,3,0,0,5,-3,-3,2,8,5,2,0.3,3,-0.2,1,-1.2,5,0.2
S02000262,S02001010,6,3,4,0,-2,-3,-6,13,7,4,1,6,1.5,2,1,7,-1.3
S02000262,S02001013,0,8,0,0,0,8,0,8,8,2,-1.6,3,2.5,1,-1.2,5,-2.1
S02000262,S02001014,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000262,S02001015,0,3,0,3,0,3,3,6,6,2,-1.4,3,0.3,1,-1.1,3,-0.2
S02000262,S02001185,5,0,4,3,-1,-5,-2,12,7,4,0.7,5,0,2,1.2,7,0
S02000263,S02000263,4,5,4,6,0,1,2,19,15,6,-0.8,8,0.3,4,0.3,11,-0.3
