source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp
S12000014,S12000042,30,16,17,29,-13,-14,-1
S12000014,S12000044,1038,769,312,752,-726,-269,-286
S12000014,S12000045,113,61,65,74,-48,-52,-39
S12000014,S12000046,1001,428,1009,822,8,-573,-179
S12000015,S12000005,191,155,64,215,-127,-36,24
S12000015,S12000006,14,4,3,4,-11,-10,-10
S12000015,S12000008,3,4,0,3,-3,1,0
S12000015,S12000010,49,40,27,71,-22,-9,22
S12000015,S12000011,0,3,0,6,0,3,6
S12000015,S12000013,0,6,0,0,0,6,0
S12000015,S12000014,386,455,148,351,-238,69,-35
S12000015,S12000015,34375,20368,13587,37493,-20788,-14007,3118
S12000015,S12000017,80,17,11,13,-69,-63,-67
S12000015,S12000018,13,0,3,6,-10,-13,-7
S12000015,S12000019,87,132,87,83,0,45,-4
S12000015,S12000020,68,20,0,6,-68,-48,-62
S12000015,S12000021,0,8,0,8,0,8,8
S12000015,S12000024,1135,655,423,1032,-712,-480,-103
S12000015,S12000026,7,3,4,20,-3,-4,13
S12000015,S12000027,4,13,6,0,2,9,-4
S12000015,S12000028,6,0,4,9,-2,-6,3
S12000015,S12000029,53,82,26,39,-27,29,-14
S12000015,S12000030,272,146,160,239,-112,-126,-33
S12000015,S12000033,92,256,100,92,8,164,0
S12000015,S12000034,24,51,22,18,-2,27,-6
S12000015,S12000035,117,38,11,9,-106,-79,-108
S12000015,S12000036,4822,1535,5777,2933,955,-3287,-1889
S12000015,S12000038,34,22,14,20,-20,-12,-14
S12000015,S12000039,9,4,0,6,-9,-5,-3
S12000015,S12000040,491,474,498,414,7,-17,-77
S12000015,S12000041,107,99,34,101,-73,-8,-6
S12000015,S12000042,1736,659,825,2011,-911,-1077,275
S12000015,S12000044,111,179,56,87,-55,68,-24
S12000015,S12000045,7,14,4,12,-3,7,5
S12000015,S12000046,234,155,258,178,24,-79,-56
S12000017,S12000005,0,0,0,3,0,0,3
S12000017,S12000006,6,0,0,3,-6,-6,-3
S12000017,S12000010,0,4,0,0,0,4,0
S12000017,S12000011,3,0,0,3,-3,-3,0
S12000017,S12000013,25,9,4,9,-21,-16,-16
S12000017,S12000014,3,0,0,4,-3,-3,1
S12000017,S12000015,19,5,6,8,-13,-14,-11
S12000017,S12000017,30657,11835,9818,30232,-20839,-18822,-425
S12000017,S12000018,9,0,0,0,-9,-9,-9
S12000017,S12000019,0,0,0,3,0,0,3
S12000017,S12000020,420,192,139,295,-281,-228,-125
S12000017,S12000021,5,3,0,0,-5,-2,-5
S12000017,S12000023,23,22,3,10,-20,-1,-13
S12000017,S12000024,17,18,5,24,-12,1,7
S12000017,S12000026,0,0,0,3,0,0,3
S12000017,S12000027,18,10,4,6,-14,-8,-12
S12000017,S12000028,3,0,0,0,-3,-3,-3
S12000017,S12000029,5,5,0,8,-5,0,3
S12000017,S12000030,21,4,4,12,-17,-17,-9
S12000017,S12000033,145,193,126,125,-19,48,-20
S12000017,S12000034,20,62,23,34,3,42,14
S12000017,S12000035,122,48,14,42,-108,-74,-80
S12000017,S12000036,69,20,49,49,-20,-49,-20
S12000017,S12000038,4,8,0,7,-4,4,3
S12000017,S12000039,4,4,0,0,-4,0,-4
S12000017,S12000040,10,0,4,0,-6,-10,-10
S12000017,S12000041,11,7,0,5,-11,-4,-6
S12000017,S12000042,8,0,3,11,-5,-8,3
S12000017,S12000044,5,4,0,4,-5,-1,-1
S12000017,S12000045,0,0,0,6,0,0,6
S12000017,S12000046,67,13,41,54,-26,-54,-13
S12000018,S12000006,6,0,3,4,-3,-6,-2
S12000018,S12000008,26,10,4,7,-22,-16,-19
S12000018,S12000010,0,0,0,3,0,0,3
S12000018,S12000011,38,12,14,37,-24,-26,-1
S12000018,S12000014,5,30,3,7,-2,25,2
S12000018,S12000015,17,14,3,0,-14,-3,-17
S12000018,S12000017,9,0,6,0,-3,-9,-9
S12000018,S12000018,7517,2481,3562,6644,-3955,-5036,-873
S12000018,S12000020,3,0,0,0,-3,-3,-3
S12000018,S12000021,144,76,30,153,-114,-68,9
S12000018,S12000024,0,0,0,3,0,0,3
S12000018,S12000026,3,0,0,0,-3,-3,-3
S12000018,S12000027,0,6,0,0,0,6,0
S12000018,S12000028,16,18,4,18,-12,2,2
S12000018,S12000029,52,80,37,22,-15,28,-30
S12000018,S12000030,4,0,6,6,2,-4,2
S12000018,S12000033,8,17,10,8,2,9,0
S12000018,S12000034,0,8,0,3,0,8,3
S12000018,S12000035,285,94,108,75,-177,-191,-210
S12000018,S12000036,24,12,38,14,14,-12,-10
S12000018,S12000038,1094,955,498,757,-596,-139,-337
S12000018,S12000039,147,87,54,66,-93,-60,-81
S12000018,S12000040,7,14,9,5,2,7,-2
S12000018,S12000041,3,0,0,0,-3,-3,-3
S12000018,S12000042,0,0,0,4,0,0,4
S12000018,S12000044,44,62,24,19,-20,18,-25
S12000018,S12000045,17,10,18,22,1,-7,5
S12000018,S12000046,1351,776,1273,1042,-78,-575,-309
S12000019,S12000005,0,12,0,3,0,12,3
S12000019,S12000008,3,0,0,0,-3,-3,-3
S12000019,S12000010,454,280,166,414,-288,-174,-40
S12000019,S12000014,30,49,5,21,-25,19,-9
S12000019,S12000015,62,82,41,49,-21,20,-13
S12000019,S12000019,3899,2080,1254,5061,-2645,-1819,1162
S12000019,S12000020,5,0,0,0,-5,-5,-5
S12000019,S12000024,6,11,0,11,-6,5,5
S12000019,S12000026,116,59,32,129,-84,-57,13
S12000019,S12000028,0,0,0,4,0,0,4
S12000019,S12000029,17,20,4,17,-13,3,0
S12000019,S12000030,12,13,16,13,4,1,1
S12000019,S12000033,5,8,5,4,0,3,-1
S12000019,S12000034,0,3,0,0,0,3,0
S12000019,S12000035,12,0,0,0,-12,-12,-12
S12000019,S12000036,6706,1542,4836,4928,-1870,-5164,-1778
S12000019,S12000038,8,5,0,0,-8,-3,-8
S12000019,S12000040,200,216,149,198,-51,16,-2
S12000019,S12000042,7,0,5,8,-2,-7,1
S12000019,S12000044,27,29,20,25,-7,2,-2
S12000019,S12000045,0,3,0,0,0,3,0
S12000019,S12000046,34,19,38,44,4,-15,10
S12000020,S12000005,0,3,0,0,0,3,0
S12000020,S12000006,4,0,0,0,-4,-4,-4
S12000020,S12000010,0,0,0,3,0,0,3
S12000020,S12000013,4,0,0,0,-4,-4,-4
S12000020,S12000015,14,4,3,0,-11,-10,-14
S12000020,S12000017,574,213,259,383,-315,-361,-191
S12000020,S12000018,3,0,0,0,-3,-3,-3
S12000020,S12000020,10944,6568,2352,10440,-8592,-4376,-504
S12000020,S12000023,7,0,0,0,-7,-7,-7
S12000020,S12000024,4,3,0,7,-4,-1,3
S12000020,S12000028,4,0,0,0,-4,-4,-4
S12000020,S12000029,0,3,0,0,0,3,0
S12000020,S12000030,0,0,0,4,0,0,4
S12000020,S12000033,324,368,194,247,-130,44,-77
S12000020,S12000034,443,378,142,377,-301,-65,-66
S12000020,S12000035,64,5,0,13,-64,-59,-51
S12000020,S12000036,15,5,8,10,-7,-10,-5
S12000020,S12000038,5,0,3,0,-2,-5,-5
S12000020,S12000042,0,0,0,8,0,0,8
S12000020,S12000044,4,0,0,0,-4,-4,-4
S12000020,S12000046,12,6,4,9,-8,-6,-3
S12000021,S12000005,0,6,0,0,0,6,0
S12000021,S12000006,41,15,12,23,-29,-26,-18
S12000021,S12000008,2479,605,508,937,-1971,-1874,-1542
S12000021,S12000010,5,3,0,0,-5,-2,-5
S12000021,S12000011,104,64,34,98,-70,-40,-6
S12000021,S12000014,9,25,5,5,-4,16,-4
S12000021,S12000015,13,9,0,3,-13,-4,-10
S12000021,S12000017,9,5,0,7,-9,-4,-2
S12000021,S12000018,560,158,347,442,-213,-402,-118
S12000021,S12000019,13,0,0,0,-13,-13,-13
S12000021,S12000020,7,0,0,0,-7,-7,-7
S12000021,S12000021,9245,4727,2405,10244,-6840,-4518,999
S12000021,S12000024,0,0,3,11,3,0,11
S12000021,S12000026,0,0,0,3,0,0,3
S12000021,S12000027,0,4,0,0,0,4,0
S12000021,S12000028,1226,883,342,1168,-884,-343,-58
S12000021,S12000029,157,176,88,100,-69,19,-57
S12000021,S12000030,11,6,0,6,-11,-5,-5
S12000021,S12000033,23,59,15,8,-8,36,-15
S12000021,S12000034,4,13,0,5,-4,9,1
S12000021,S12000035,97,19,24,24,-73,-78,-73
S12000021,S12000036,41,16,44,16,3,-25,-25
S12000021,S12000038,1351,839,432,977,-919,-512,-374
S12000021,S12000039,89,53,46,44,-43,-36,-45
S12000021,S12000040,11,17,14,11,3,6,0
S12000021,S12000041,3,8,0,0,-3,5,-3
S12000021,S12000042,0,0,0,4,0,0,4
S12000021,S12000044,94,124,39,53,-55,30,-41
S12000021,S12000045,22,25,26,15,4,3,-7
S12000021,S12000046,1786,767,1811,1457,25,-1019,-329
S12000023,S12000017,17,10,4,10,-13,-7,-7
S12000023,S12000020,7,3,0,0,-7,-4,-7
S12000023,S12000023,3100,1228,721,2691,-2379,-1872,-409
S12000023,S12000024,0,0,0,3,0,0,3
S12000023,S12000027,8,0,0,4,-8,-8,-4
S12000023,S12000033,37,14,6,9,-31,-23,-28
S12000023,S12000034,8,0,0,0,-8,-8,-8
S12000023,S12000035,11,0,0,3,-11,-11,-8
S12000023,S12000036,5,0,0,7,-5,-5,2
S12000023,S12000046,4,0,0,0,-4,-4,-4
S12000024,S12000005,88,43,26,92,-62,-45,4
S12000024,S12000006,9,3,0,0,-9,-6,-9
S12000024,S12000010,6,7,7,8,1,1,2
S12000024,S12000014,88,70,32,66,-56,-18,-22
S12000024,S12000015,852,493,283,634,-569,-359,-218
S12000024,S12000017,44,10,8,24,-36,-34,-20
S12000024,S12000019,10,7,8,9,-2,-3,-1
S12000024,S12000020,16,8,0,0,-16,-8,-16
S12000024,S12000024,14977,5940,5123,17088,-9854,-9037,2111
S12000024,S12000026,3,7,0,3,-3,4,0
S12000024,S12000028,4,4,0,0,-4,0,-4
S12000024,S12000029,26,31,9,23,-17,5,-3
S12000024,S12000030,354,125,199,389,-155,-229,35
S12000024,S12000033,52,76,44,58,-8,24,6
S12000024,S12000034,23,26,15,17,-8,3,-6
S12000024,S12000035,24,4,0,3,-24,-20,-21
S12000024,S12000036,516,159,658,268,142,-357,-248
S12000024,S12000038,30,15,6,29,-24,-15,-1
S12000024,S12000039,9,3,0,3,-9,-6,-6
S12000024,S12000040,54,48,44,60,-10,-6,6
S12000024,S12000041,271,147,66,179,-205,-124,-92
S12000024,S12000042,2011,508,661,1609,-1350,-1503,-402
S12000024,S12000044,53,65,32,28,-21,12,-25
S12000024,S12000045,0,8,5,3,5,8,3
S12000024,S12000046,142,75,170,120,28,-67,-22
S12000026,S12000006,24,19,5,43,-19,-5,19
S12000026,S12000008,3,0,0,0,-3,-3,-3
S12000026,S12000010,354,125,114,213,-240,-229,-141
S12000026,S12000014,26,10,5,6,-21,-16,-20
S12000026,S12000015,23,25,15,18,-8,2,-5
S12000026,S12000017,0,4,0,8,0,4,8
S12000026,S12000019,378,185,245,314,-133,-193,-64
S12000026,S12000020,3,0,0,0,-3,-3,-3
S12000026,S12000024,4,0,0,9,-4,-4,5
S12000026,S12000026,11167,6476,3197,11497,-7970,-4691,330
S12000026,S12000028,0,0,3,0,3,0,0
S12000026,S12000029,56,42,19,46,-37,-14,-10
S12000026,S12000030,13,7,11,13,-2,-6,0
S12000026,S12000033,10,11,5,14,-5,1,4
S12000026,S12000034,0,6,0,0,0,6,0
S12000026,S12000035,11,0,0,0,-11,-11,-11
S12000026,S12000036,1525,291,1349,1046,-176,-1234,-479
S12000026,S12000038,8,5,0,0,-8,-3,-8
S12000026,S12000040,61,54,41,51,-20,-7,-10
S12000026,S12000041,3,0,0,0,-3,-3,-3
S12000026,S12000042,0,0,0,4,0,0,4
S12000026,S12000044,16,16,5,17,-11,0,1
S12000026,S12000046,34,11,49,38,15,-23,4
S12000027,S12000023,4,0,0,0,-4,-4,-4
S12000027,S12000027,4297,1762,859,3223,-3438,-2535,-1074
S12000027,S12000033,36,20,16,18,-20,-16,-18
S12000027,S12000034,4,0,3,16,-1,-4,12
S12000027,S12000036,5,0,5,0,0,-5,-5
S12000027,S12000042,0,0,0,3,0,0,3
S12000028,S12000005,0,3,0,0,0,3,0
S12000028,S12000006,117,53,35,81,-82,-64,-36
S12000028,S12000008,1924,599,405,1084,-1519,-1325,-840
S12000028,S12000011,52,22,21,70,-31,-30,18
S12000028,S12000013,6,0,5,0,-1,-6,-6
S12000028,S12000014,4,9,0,4,-4,5,0
S12000028,S12000015,13,0,3,6,-10,-13,-7
S12000028,S12000017,3,3,0,0,-3,0,-3
S12000028,S12000018,36,8,18,29,-18,-28,-7
S12000028,S12000019,11,0,0,0,-11,-11,-11
S12000028,S12000020,5,0,0,0,-5,-5,-5
S12000028,S12000021,1026,673,264,834,-762,-353,-192
S12000028,S12000024,0,6,0,4,0,6,4
S12000028,S12000027,8,0,0,0,-8,-8,-8
S12000028,S12000028,9518,4253,2379,11427,-7139,-5265,1909
S12000028,S12000029,143,130,82,90,-61,-13,-53
S12000028,S12000030,8,4,5,14,-3,-4,6
S12000028,S12000033,16,18,3,8,-13,2,-8
S12000028,S12000034,0,0,0,4,0,0,4
S12000028,S12000035,17,0,0,7,-17,-17,-10
S12000028,S12000036,42,11,39,25,-3,-31,-17
S12000028,S12000038,341,222,109,199,-232,-119,-142
S12000028,S12000039,24,16,13,15,-11,-8,-9
S12000028,S12000040,12,14,8,8,-4,2,-4
S12000028,S12000042,0,0,0,4,0,0,4
S12000028,S12000044,69,93,33,47,-36,24,-22
S12000028,S12000045,14,10,18,10,4,-4,-4
S12000028,S12000046,937,364,919,769,-18,-573,-168
S12000029,S12000005,17,30,8,21,-9,13,4
S12000029,S12000006,59,61,15,62,-44,2,3
S12000029,S12000008,227,118,53,122,-174,-109,-105
S12000029,S12000010,23,13,18,37,-5,-10,14
S12000029,S12000011,397,188,156,515,-241,-209,118
S12000029,S12000013,10,0,0,0,-10,-10,-10
S12000029,S12000014,157,216,81,143,-76,59,-14
S12000029,S12000015,72,115,39,31,-33,43,-41
S12000029,S12000017,20,0,0,12,-20,-20,-8
S12000029,S12000018,62,52,35,45,-27,-10,-17
S12000029,S12000019,63,48,55,54,-8,-15,-9
S12000029,S12000020,13,0,0,0,-13,-13,-13
S12000029,S12000021,68,77,32,66,-36,9,-2
S12000029,S12000023,0,5,0,0,0,5,0
S12000029,S12000024,14,18,8,24,-6,4,10
S12000029,S12000026,72,35,15,93,-57,-37,21
S12000029,S12000027,3,3,4,0,1,0,-3
S12000029,S12000028,100,98,36,122,-64,-2,22
S12000029,S12000029,21848,11025,7104,22785,-14744,-10823,937
S12000029,S12000030,117,114,94,151,-23,-3,34
S12000029,S12000033,23,78,24,25,1,55,2
S12000029,S12000034,9,13,8,5,-1,4,-4
S12000029,S12000035,99,19,28,14,-71,-80,-85
S12000029,S12000036,679,229,872,464,193,-450,-215
S12000029,S12000038,724,605,316,572,-408,-119,-152
S12000029,S12000039,183,92,93,96,-90,-91,-87
S12000029,S12000040,593,500,422,537,-171,-93,-56
S12000029,S12000041,7,4,0,0,-7,-3,-7
S12000029,S12000042,5,6,5,6,0,1,1
S12000029,S12000044,6142,2860,2175,4116,-3967,-3282,-2026
S12000029,S12000045,170,147,206,167,36,-23,-3
S12000029,S12000046,11055,4073,8755,9118,-2300,-6982,-1937
S12000030,S12000005,464,255,123,390,-341,-209,-74
S12000030,S12000006,0,3,0,6,0,3,6
S12000030,S12000008,6,0,0,0,-6,-6,-6
S12000030,S12000010,9,10,4,11,-5,1,2
S12000030,S12000011,7,9,0,7,-7,2,0
S12000030,S12000014,1141,557,285,796,-856,-584,-345
S12000030,S12000015,142,81,58,84,-84,-61,-58
S12000030,S12000017,7,5,4,12,-3,-2,5
S12000030,S12000018,6,5,0,8,-6,-1,2
S12000030,S12000019,14,8,12,22,-2,-6,8
S12000030,S12000021,0,3,0,3,0,3,3
S12000030,S12000024,195,148,79,297,-116,-47,102
S12000030,S12000026,0,4,0,0,0,4,0
S12000030,S12000027,0,0,3,0,3,0,0
S12000030,S12000028,5,0,0,4,-5,-5,-1
S12000030,S12000029,61,60,41,56,-20,-1,-5
S12000030,S12000030,6324,2575,2798,9024,-3526,-3749,2700
S12000030,S12000033,11,34,16,14,5,23,3
S12000030,S12000034,0,6,0,5,0,6,5
S12000030,S12000035,71,16,16,26,-55,-55,-45
S12000030,S12000036,411,133,651,280,240,-278,-131
S12000030,S12000038,77,59,42,60,-35,-18,-17
S12000030,S12000039,130,34,28,93,-102,-96,-37
S12000030,S12000040,95,87,82,86,-13,-8,-9
S12000030,S12000041,10,9,0,8,-10,-1,-2
S12000030,S12000042,41,19,29,67,-12,-22,26
S12000030,S12000044,281,244,112,166,-169,-37,-115
S12000030,S12000045,94,66,88,147,-6,-28,53
S12000030,S12000046,880,310,902,854,22,-570,-26
S12000033,S12000014,0,3,0,0,0,3,0
S12000033,S12000015,3,7,0,7,-3,4,4
S12000033,S12000017,33,12,17,21,-16,-21,-12
S12000033,S12000020,27,5,7,10,-20,-22,-17
S12000033,S12000023,0,0,3,0,3,0,0
S12000033,S12000024,5,3,0,6,-5,-2,1
S12000033,S12000027,42,8,3,13,-39,-34,-29
S12000033,S12000028,3,0,0,0,-3,-3,-3
S12000033,S12000029,4,0,0,0,-4,-4,-4
S12000033,S12000030,6,4,0,3,-6,-2,-3
S12000033,S12000033,26294,18180,17517,31452,-8777,-8114,5158
S12000033,S12000034,1679,2942,1839,2350,160,1263,671
S12000033,S12000035,6,0,0,0,-6,-6,-6
S12000033,S12000036,28,11,26,15,-2,-17,-13
S12000033,S12000038,3,3,3,0,0,0,-3
S12000033,S12000041,26,28,11,31,-15,2,5
S12000033,S12000042,19,8,5,36,-14,-11,17
S12000033,S12000044,4,0,0,0,-4,-4,-4
S12000033,S12000046,19,11,10,16,-9,-8,-3
S12000034,S12000006,7,0,0,0,-7,-7,-7
S12000034,S12000014,7,7,4,3,-3,0,-4
S12000034,S12000015,24,6,8,10,-16,-18,-14
S12000034,S12000017,46,22,5,29,-41,-24,-17
S12000034,S12000019,0,0,3,0,3,0,0
S12000034,S12000020,288,185,62,201,-226,-103,-87
S12000034,S12000024,16,4,4,17,-12,-12,1
S12000034,S12000027,47,23,4,5,-43,-24,-42
S12000034,S12000029,3,0,3,0,0,-3,-3
S12000034,S12000030,0,0,0,9,0,0,9
S12000034,S12000033,12728,10918,9183,10064,-3545,-1810,-2664
S12000034,S12000034,16850,14390,5966,22313,-10884,-2460,5463
S12000034,S12000035,14,5,0,4,-14,-9,-10
