source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000013,S12000035,33,3,0,5,-33,-30,-28,41,13.7,19.3,5.20
S12000013,S12000036,7,0,0,5,-7,-7,-2,12,4.0,3.0,1.49
S12000013,S12000046,18,8,8,12,-10,-10,-6,46,15.4,2.6,0.66
S12000014,S12000005,402,193,78,246,-324,-209,-156,919,307.7,94.3,5.37
S12000014,S12000006,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000014,S12000008,9,4,3,0,-6,-5,-9,16,5.4,3.6,1.57
S12000014,S12000010,28,17,28,47,0,-11,19,120,40.2,-12.2,-1.92
S12000014,S12000011,13,3,4,3,-9,-10,-10,23,7.7,5.3,1.91
S12000014,S12000014,12806,8208,3552,13227,-9254,-4598,421,37793,12654.7,151.3,1.35
S12000014,S12000015,378,340,176,265,-202,-38,-113,1159,388.1,-10.1,-0.51
S12000014,S12000017,12,10,4,6,-8,-2,-6,32,10.7,1.3,0.39
S12000014,S12000018,7,0,4,3,-3,-7,-4,14,4.7,2.3,1.07
S12000014,S12000019,60,58,49,63,-11,-2,3,230,77.0,-17.0,-1.94
S12000014,S12000020,10,5,0,0,-10,-5,-10,15,5.0,5.0,2.22
S12000014,S12000021,6,4,0,0,-6,-2,-6,10,3.3,2.7,1.45
S12000014,S12000024,61,69,19,95,-42,8,34,244,81.7,-20.7,-2.29
S12000014,S12000026,6,7,0,7,-6,1,1,20,6.7,-0.7,-0.27
S12000014,S12000027,0,7,3,0,3,7,0,10,3.3,-3.3,-1.83
S12000014,S12000028,8,4,4,8,-4,-4,0,24,8.0,0.0,-0.01
S12000014,S12000029,142,143,67,109,-75,1,-33,461,154.4,-12.4,-0.99
S12000014,S12000030,2482,831,1397,1719,-1085,-1651,-763,6429,2152.7,329.3,7.10
S12000014,S12000033,26,74,29,18,3,48,-8,147,49.2,-23.2,-3.31
S12000014,S12000034,3,9,0,4,-3,6,1,16,5.4,-2.4,-1.02
