regionCode,regionName,council,gridX,gridY
S02000926,Moodiesburn West,North Lanarkshire,17,4
S02000927,Moodiesburn East,North Lanarkshire,18,4
S02000983,Lochwinnoch,Renfrewshire,2,13
S02000984,Renfrewshire Rural South & Howwood,Renfrewshire,1,12
S02000985,Paisley Glenburn West,Renfrewshire,4,14
S02000986,Paisley Glenburn East,Renfrewshire,5,14
S02000987,Paisley Foxbar,Renfrewshire,3,14
S02000988,Johnstone South West,Renfrewshire,2,12
S02000989,Paisley Dykebar,Renfrewshire,6,14
S02000990,Paisley South West,Renfrewshire,4,13
S02000991,Paisley South East,Renfrewshire,5,13
S02000992,Johnstone South East,Renfrewshire,3,13
S02000993,Paisley South,Renfrewshire,4,12
S02000994,Johnstone North West,Renfrewshire,1,11
S02000995,Paisley West,Renfrewshire,3,12
S02000996,Kilbarchan,Renfrewshire,0,11
S02000997,Paisley East,Renfrewshire,5,12
S02000998,Johnstone North East,Renfrewshire,2,11
S02000999,Elderslie and Phoenix,Renfrewshire,2,10
S02001000,Paisley Central,Renfrewshire,4,11
S02001001,Paisley North West,Renfrewshire,3,11
S02001002,Paisley Ralston,Renfrewshire,6,12
S02001003,Paisley Ferguslie,Renfrewshire,3,10
S02001004,Paisley North East,Renfrewshire,5,11
S02001005,Linwood South,Renfrewshire,3,9
S02001006,Linwood North,Renfrewshire,1,10
S02001007,Paisley Gallowhill and Hillington,Renfrewshire,5,10
S02001008,Bridge of Weir,Renfrewshire,0,10
S02001009,Houston South,Renfrewshire,2,9
S02001010,Paisley North,Renfrewshire,4,10
S02001011,Renfrew South,Renfrewshire,4,9
S02001012,Houston North,Renfrewshire,2,8
S02001013,Renfrew East,Renfrewshire,5,9
S02001014,Renfrew West,Renfrewshire,3,8
S02001015,Renfrewshire Rural North and Langbank,Renfrewshire,4,7
S02001016,Renfrew North,Renfrewshire,4,8
S02001017,Erskine East and Inchinnan,Renfrewshire,2,7
S02001018,Erskine Central,Renfrewshire,3,7
S02001019,Erskine West,Renfrewshire,3,6
S02001020,Bishopton,Renfrewshire,2,6
S02001146,Fernhill and Cathkin,South Lanarkshire,15,17
S02001148,Whitlawburn and Greenlees,South Lanarkshire,17,17
S02001149,Vicarland and Cairns,South Lanarkshire,17,16
S02001150,Burnside and Springhall,South Lanarkshire,16,17
S02001152,Spittal,South Lanarkshire,14,16
S02001153,Cambuslang Central,South Lanarkshire,16,16
S02001154,High Crosshill,South Lanarkshire,15,16
S02001156,"Halfway, Hallside and Drumsagard",South Lanarkshire,17,15
S02001157,Westburn and Newton,South Lanarkshire,16,15
S02001158,Bankhead South,South Lanarkshire,14,15
S02001159,"Burgh, Eastfield and Silverbank",South Lanarkshire,15,15
S02001160,Burnhill and Bankhead North,South Lanarkshire,14,14
S02001161,Shawfield and Clincarthill,South Lanarkshire,13,13
S02001162,Farme Cross and Gallowflat North,South Lanarkshire,15,14
S02001184,IZ One,West Dunbartonshire,5,5
S02001185,IZ Two,West Dunbartonshire,5,4
S02001186,IZ Three,West Dunbartonshire,6,4
S02001187,IZ Four,West Dunbartonshire,5,3
S02001188,IZ Five,West Dunbartonshire,5,2
S02001189,IZ Six,West Dunbartonshire,6,3
S02001190,IZ Seven,West Dunbartonshire,4,4
S02001191,IZ Eight,West Dunbartonshire,6,2
S02001192,IZ Nine,West Dunbartonshire,3,4
S02001193,IZ Ten,West Dunbartonshire,5,1
S02001194,IZ Eleven,West Dunbartonshire,4,3
S02001195,IZ Twelve,West Dunbartonshire,3,3
S02001196,IZ Thirteen,West Dunbartonshire,4,2
S02001197,IZ Fourteen,West Dunbartonshire,4,1
S02001198,IZ Fifteen,West Dunbartonshire,3,2
S02001199,IZ Sixteen,West Dunbartonshire,5,0
S02001200,IZ Seventeen,West Dunbartonshire,3,1
S02001201,IZ Eighteen,West Dunbartonshire,4,0
